frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
10.0,2.0,0.126371,7.9489307457041045,0.5,0.3139850329681562,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.3352739604538021,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.3374916566775844,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.43604018703882863,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.43604970528616666,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.4466510743427476,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.44665232938360927,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.48944731679569004,crossing,8,9,unlabeled,unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.49942518323511714,crossing,5,7,unlabeled,unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.4994741308846281,crossing,1,2,unlabeled,unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.4993001297435708,crossing,1,2,unlabeled,unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.49923497748665174,crossing,5,7,unlabeled,unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.48829977053227275,crossing,8,9,unlabeled,unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.4466574866789593,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.4466557978805443,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.4359297396800128,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.43592021377071194,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.3372703614408523,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.33505527308574484,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.3138250931766673,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.24413136497417717,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.2440309598069242,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.1755533451245791,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.16449086714358585,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,-0.08741667781573303,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.08741667781552355,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.16449086714359254,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.17555334512456125,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.24403095980694597,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.24413136497416826,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.3138250931766625,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.33505527308574257,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.3372703614408814,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.43592021377069534,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.4359297396800088,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.4466557978805531,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.44665748667899385,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.48829974859848496,crossing,8,9,unlabeled,unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.4992349774866491,crossing,5,7,unlabeled,unlabeled,0.0
10.0,1.5,0.168269,10.59147455897116,0.5,0.49930012974357396,crossing,1,2,unlabeled,unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.49895306415605656,crossing,1,2,unlabeled,unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.4988555115013201,crossing,5,7,unlabeled,unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.49,avoided,10,11,unlabeled,unlabeled,1.3352550780609818e-06
10.0,1.0,0.251983,15.873972407686743,0.5,-0.4794896191687661,crossing,8,9,unlabeled,unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.4466679225940601,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.44666533805201986,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.4358821609243041,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.4358728853670634,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.3370785777623423,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.33488390021017883,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.3136685853867019,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.2438861573529748,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.24374270997858669,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.17514868337238834,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.16402712882294923,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,-0.08646254381700731,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.08646254381690872,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.16402712882296105,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.17514868337239042,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.24374270997859462,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.2438861573529681,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.3136685853866964,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.3348839002101697,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.33707857776234657,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.43587288536704366,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.43588216092431775,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.4466653380520616,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.4466679225941281,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.47948962307115406,crossing,8,9,unlabeled,unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.49,avoided,10,11,unlabeled,unlabeled,1.3352546091027762e-06
10.0,1.0,0.251983,15.873972407686743,0.5,0.49885551150131774,crossing,5,7,unlabeled,unlabeled,0.0
10.0,1.0,0.251983,15.873972407686743,0.5,0.49895306415605367,crossing,1,2,unlabeled,unlabeled,0.0
