frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.3,-0.310508952323886,-0.0006379179338296126,0.0006379179338296126,0.0,3.257524086418556,6.204539220513226,10.004248811050388,13.261134979535115,22.126472264989474,0.0,3.257524086418556,6.204539220513226,10.003783389586516,10.512356445284155,13.261134979535115,8.88846665965633,16.20804399842197,13.9925818756644,14.11747286341864,18.891667229557697,20.007861243169685,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.29000000000000004,-0.3065207752857475,-0.0006014533441600634,0.0006014533441600634,0.0,3.332350061095525,6.3581793469053025,10.004248811050388,13.335997418801753,22.126472264989474,0.0,3.332350061095525,6.3581793469053025,10.003820654181226,10.858672994797985,13.335997418801753,9.108214694467392,16.361704308190866,14.273175355252306,14.42835898535347,19.111422257700553,20.007936243175124,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.28,-0.30318821913917304,-0.0005710716563953611,0.0005710716563953611,0.0,3.403902704088523,6.504617189037873,10.004248811050388,13.407580443482516,22.126472264989474,0.0,3.403902704088523,6.504617189037873,10.003852222345387,11.191544133511428,13.407580443482516,9.319645459976414,16.50816190926119,14.548275416128632,14.737754233029904,19.322861005338865,20.007999809281017,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.27,-0.3003759823242831,-0.0005443300540264318,0.0005443300540264318,0.0,3.4722990065704096,6.644222030816536,10.004248811050388,13.476003487566771,22.126472264989474,0.0,3.4722990065704096,6.644222030816536,10.003881415962695,11.51052111945009,13.476003487566771,9.522778966341974,16.647786274678282,14.817311214784723,15.04496362322135,19.526003293741695,20.008058629513755,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.26,-0.297980481567663,-0.0005201029037777971,0.0005201029037777971,0.0,3.537642207212997,6.777303932858331,10.004248811050388,13.541370915359607,22.126472264989474,0.0,3.537642207212997,6.777303932858331,10.00390907169077,11.815348667989525,13.541370915359607,9.717659993574074,16.780887710743684,15.079753105903166,15.349225489861482,19.720893718875516,20.008114382507813,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.25,-0.2959219710439527,-0.0004978066450291863,0.0004978066450291863,0.0,3.6000236011400943,6.904125231236236,10.004248811050388,13.603774605545453,22.126472264989474,0.0,3.6000236011400943,6.904125231236236,10.003935482314546,12.105934792656882,13.603774605545453,9.904350998191234,16.907728906261497,15.335112196683838,15.649722995994921,19.90759456369227,20.008167653427677,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.24,-0.29413866905707664,-0.00047711289678886715,0.00047711289678886715,0.0,3.6595240882848827,7.024909507512689,10.004248811050388,13.663295786438482,22.126472264989474,0.0,3.6595240882848827,7.024909507512689,10.003960765517235,12.382321404821596,13.663295786438482,10.082926429476146,17.02853399666762,15.582939762320649,15.945599724328616,20.086180118245295,20.008218675860604,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.22999999999999998,-0.2925823869316275,-0.00045782508863112525,0.00045782508863112525,0.0,3.7162154973787835,7.1398486078259396,10.004248811050388,13.72000648334054,22.126472264989474,0.0,3.7162154973787835,7.1398486078259396,10.003984969537413,12.644655458821319,13.72000648334054,10.253468237859067,17.14349577821983,15.82282626691088,16.235977427983926,20.256732190312704,20.00826754406731,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.21999999999999997,-0.29121527295853866,-0.0004398192357655262,0.0004398192357655262,0.0,3.7701617183958263,7.249108163833114,10.004248811050388,13.773970710210449,22.126472264989474,0.0,3.7701617183958263,7.249108163833114,10.004008111509165,12.893161723158244,13.773970710210449,10.416062377332821,17.252781687566937,16.054399978455564,16.519973904831545,20.419336608728827,20.008314289955706,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.21000000000000002,-0.29000738096468126,-0.0004230130224414097,0.0004230130224414097,0.0,3.821419672223641,7.3528319634826005,10.004248811050388,13.825245470251588,22.126472264989474,0.0,3.821419672223641,7.3528319634826005,10.004030193788765,13.128118263885256,13.825245470251588,10.570796125495463,17.35653944145426,16.27732523724964,16.796718855420835,20.574080543349822,20.00835891585055,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.2,-0.2889348482198102,-0.0004073485524145326,0.0004073485524145326,0.0,3.870040142355066,7.451145436490322,10.004248811050388,13.87388160485304,22.126472264989474,0.0,3.870040142355066,7.451145436490322,10.004051211783093,13.349835407338503,13.87388160485304,10.71775606746587,17.454904984059453,16.491300457309308,17.065364206180448,20.721050488131482,20.008401410164595,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.19,-0.28797852404127866,-0.0003927821440186108,0.0003927821440186108,0.0,3.916068489592135,7.544158455142991,10.004248811050388,13.919924518498505,22.126472264989474,0.0,3.916068489592135,7.544158455142991,10.004071158054387,13.558638536766665,13.919924518498505,10.85702661200557,17.548029105332688,16.69605594228318,17.325072104201325,20.860330775978298,20.008441755677836,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.18,-0.28712293269313705,-0.0003792781097899933,0.0003792781097899933,0.0,3.9595452676007596,7.631967602508382,10.004248811050388,13.963414800541358,22.126472264989474,0.0,3.9595452676007596,7.631967602508382,10.004090024687741,13.754854695734451,13.963414800541358,10.988688929172667,17.63647181210277,16.89135159141958,17.57463147150608,20.99200251481966,20.00847993426646,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.16999999999999998,-0.28635548489415896,-0.00036680473510841693,0.00036680473510841693,0.0,4.000506754130356,7.714658023366553,10.004248811050388,14.004388760445636,22.126472264989474,0.0,4.000506754130356,7.714658023366553,10.004107804723049,13.938802685798663,14.004388760445636,11.112820217600955,17.717775391842792,17.076974561801848,17.81589244890941,21.116142853168526,20.008515929761927,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.15999999999999998,-0.28566587517130415,-0.0003553317360456276,0.0003553317360456276,0.0,4.038985410450039,7.792304945728773,10.004248811050388,14.042878889764381,22.126472264989474,0.0,4.038985410450039,7.792304945728773,10.004124493057986,14.110786174962186,14.042878889764381,11.229493226213691,17.795756735351148,17.252736942585273,18.044478616447464,21.23282450012269,20.00854972979343,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
