beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.4,-0.49,avoided,8,9,unlabeled,unlabeled,1.7350525638448744e-06
0.4,-0.4466670056187105,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,-0.4466641232817175,crossing,4,7,"|2,1>","|3,0>",0.0
0.4,-0.4166540868603907,crossing,10,11,"|5,0>","|4,0>",0.0
0.4,-0.4137572728394462,crossing,6,10,"|0,2>","|5,0>",0.0
0.4,-0.4058170871982333,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,-0.39158536065513466,crossing,2,4,"|0,1>","|2,1>",0.0
0.4,-0.38,avoided,6,10,"|0,2>","|5,0>",0.019974405102814785
0.4,-0.37698306143827576,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,-0.3769785499555645,crossing,2,7,"|0,1>","|3,0>",0.0
0.4,-0.3356926025579636,crossing,6,10,"|0,2>","|5,0>",0.0
0.4,-0.3111880763756867,crossing,4,5,"|2,1>","|1,1>",0.0
0.4,-0.3081277852170926,crossing,8,10,"|3,1>","|5,0>",0.0
0.4,-0.30447712273439154,crossing,6,8,"|0,2>","|3,1>",0.0
0.4,-0.28625893017142623,crossing,6,8,"|0,2>","|3,1>",0.0
0.4,-0.25279176693926864,crossing,6,11,"|0,2>","|4,0>",0.0
0.4,-0.2467264041831009,crossing,2,3,"|0,1>","|2,0>",0.0
0.4,-0.22529841791932997,crossing,8,10,"|3,1>","|5,0>",0.0
0.4,-0.19336493810724434,crossing,5,7,"|1,1>","|3,0>",0.0
0.4,-0.1737034211522482,crossing,4,6,"|2,1>","|0,2>",0.0
0.4,-0.17175157531852067,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,-0.1005746202897227,crossing,9,10,"|1,2>","|5,0>",0.0
0.4,-0.04999999999999999,avoided,4,11,"|2,1>","|4,0>",0.02245797126053617
0.4,0.050000000000000044,avoided,4,11,"|2,1>","|4,0>",0.022457971260010368
0.4,0.10057462028959234,crossing,9,10,"|1,2>","|5,0>",0.0
0.4,0.17175157531854984,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,0.17370342115221382,crossing,4,6,"|2,1>","|0,2>",0.0
0.4,0.19336493810717612,crossing,5,7,"|1,1>","|3,0>",0.0
0.4,0.22529841791932714,crossing,8,10,"|3,1>","|5,0>",0.0
0.4,0.24672640418288944,crossing,2,3,"|0,1>","|2,0>",0.0
0.4,0.2527917669393482,crossing,6,11,"|0,2>","|4,0>",0.0
0.4,0.28625893017143034,crossing,6,8,"|0,2>","|3,1>",0.0
0.4,0.30447712273436706,crossing,6,8,"|0,2>","|3,1>",0.0
0.4,0.3081277852170855,crossing,8,10,"|3,1>","|5,0>",0.0
0.4,0.31118807637568763,crossing,4,5,"|2,1>","|1,1>",0.0
0.4,0.3356926025579953,crossing,6,10,"|0,2>","|5,0>",0.0
0.4,0.37697854995558133,crossing,2,7,"|0,1>","|3,0>",0.0
0.4,0.3769830614382758,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,0.38,avoided,6,10,"|0,2>","|5,0>",0.019974405101322645
0.4,0.3915853606551031,crossing,2,4,"|0,1>","|2,1>",0.0
0.4,0.40581708719823606,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,0.41375727283936903,crossing,6,10,"|0,2>","|5,0>",0.0
0.4,0.41665408686061006,crossing,10,11,"|5,0>","|4,0>",0.0
0.4,0.4466641232818296,crossing,4,7,"|2,1>","|3,0>",0.0
0.4,0.44666700561882944,crossing,8,9,"|3,1>","|1,2>",0.0
0.4,0.49,avoided,8,9,unlabeled,unlabeled,1.735051839091284e-06
0.4,0.4988832919407537,crossing,5,6,unlabeled,unlabeled,0.0
0.4,0.49899113519637966,crossing,1,3,unlabeled,unlabeled,0.0
0.5,-0.4987221302245444,crossing,1,2,unlabeled,unlabeled,0.0
0.5,-0.4985536122730349,crossing,5,6,unlabeled,unlabeled,0.0
0.5,-0.4969913142503118,crossing,8,9,unlabeled,unlabeled,0.0
0.5,-0.49473706597457745,crossing,4,7,unlabeled,unlabeled,0.0
0.5,-0.48978660277663455,crossing,8,9,unlabeled,unlabeled,0.0
0.5,-0.44667590841073884,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,-0.44667130929203447,crossing,4,7,"|2,1>","|3,0>",0.0
0.5,-0.4178955045948515,crossing,10,11,"|5,0>","|4,0>",0.0
0.5,-0.4133283909383133,crossing,6,11,"|1,2>","|4,0>",0.0
0.5,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.029438144609287065
0.5,-0.40581763181087693,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,-0.39168420550277183,crossing,3,4,"|0,1>","|2,1>",0.0
0.5,-0.3770945835409006,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,-0.37708658634759845,crossing,3,7,"|0,1>","|3,0>",0.0
0.5,-0.37,avoided,6,10,"|1,2>","|5,0>",0.024498305281355215
0.5,-0.32564051958339907,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.3112240554660662,crossing,4,5,"|2,1>","|1,1>",0.0
0.5,-0.3082726915828731,crossing,6,8,"|1,2>","|0,2>",0.0
0.5,-0.3046061752717505,crossing,8,10,"|0,2>","|5,0>",0.0
0.5,-0.2754529170323853,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.2531135689572556,crossing,8,11,"|0,2>","|4,0>",0.0
0.5,-0.25261604535029136,crossing,2,3,"|2,0>","|0,1>",0.0
